Date,Net Clicks,Install Clicks,Uninstall Clicks,Update Clicks
2020-12-02,0,0,0,0
2020-12-03,0,0,0,0
2020-12-04,0,0,0,0
2020-12-05,0,0,0,0
2020-12-06,0,0,0,0
2020-12-07,0,0,0,0
2020-12-08,0,0,0,0
2020-12-09,0,0,0,0
2020-12-10,0,0,0,0
2020-12-11,0,0,0,0
2020-12-12,0,0,0,0
2020-12-13,0,0,0,0
2020-12-14,0,0,0,0
2020-12-15,0,0,0,0
2020-12-16,0,0,0,0
2020-12-17,0,0,0,0
2020-12-18,0,0,0,0
2020-12-19,0,0,0,0
2020-12-20,0,0,0,0
2020-12-21,0,0,0,0
2020-12-22,0,0,0,0
2020-12-23,0,0,0,0
2020-12-24,0,0,0,0
2020-12-25,0,0,0,0
2020-12-26,0,0,0,0
2020-12-27,0,0,0,0
2020-12-28,0,0,0,0
2020-12-29,0,0,0,0
2020-12-30,0,0,0,0
2020-12-31,0,0,0,0
2021-01-01,0,0,0,0
2021-01-02,0,0,0,0
2021-01-03,0,0,0,0
2021-01-04,0,0,0,0
2021-01-05,0,0,0,0
2021-01-06,0,0,0,0
2021-01-07,0,0,0,0
2021-01-08,0,0,0,0
2021-01-09,0,0,0,0
2021-01-10,0,0,0,0
2021-01-11,0,0,0,0
2021-01-12,0,0,0,0
2021-01-13,0,0,0,0
2021-01-14,0,0,0,0
2021-01-15,0,0,0,0
2021-01-16,0,0,0,0
2021-01-17,0,0,0,0
2021-01-18,0,0,0,0
2021-01-19,0,0,0,0
2021-01-20,0,0,0,0
2021-01-21,0,0,0,0
2021-01-22,0,0,0,0
2021-01-23,0,0,0,0
2021-01-24,0,0,0,0
2021-01-25,0,0,0,0
2021-01-26,0,0,0,0
2021-01-27,0,0,0,0
2021-01-28,0,0,0,0
2021-01-29,0,0,0,0
2021-01-30,0,0,0,0
2021-01-31,0,0,0,0
2021-02-01,0,0,0,0
2021-02-02,0,0,0,0
2021-02-03,0,0,0,0
2021-02-04,0,0,0,0
2021-02-05,0,0,0,0
2021-02-06,0,0,0,0
2021-02-07,0,0,0,0
2021-02-08,0,0,0,0
2021-02-09,0,0,0,0
2021-02-10,0,0,0,0
2021-02-11,0,0,0,0
2021-02-12,0,0,0,0
2021-02-13,0,0,0,0
2021-02-14,0,0,0,0
2021-02-15,0,0,0,0
2021-02-16,0,0,0,0
2021-02-17,0,0,0,0
2021-02-18,0,0,0,0
2021-02-19,0,0,0,0
2021-02-20,0,0,0,0
2021-02-21,0,0,0,0
2021-02-22,0,0,0,0
2021-02-23,0,0,0,0
2021-02-24,0,0,0,0
2021-02-25,0,0,0,0
2021-02-26,0,0,0,0
2021-02-27,0,0,0,0
2021-02-28,0,0,0,0
2021-03-01,0,0,0,0
2021-03-02,0,0,0,0
2021-03-03,0,0,0,0
2021-03-04,0,0,0,0
2021-03-05,0,0,0,0
2021-03-06,0,0,0,0
2021-03-07,0,0,0,0
2021-03-08,0,0,0,0
2021-03-09,0,0,0,0
2021-03-10,0,0,0,0
2021-03-11,0,0,0,0
2021-03-12,0,0,0,0
2021-03-13,0,0,0,0
2021-03-14,0,0,0,0
2021-03-15,0,0,0,0
2021-03-16,0,0,0,0
2021-03-17,0,0,0,0
2021-03-18,0,0,0,0
2021-03-19,0,0,0,0
2021-03-20,0,0,0,0
2021-03-21,0,0,0,0
2021-03-22,0,0,0,0
2021-03-23,0,0,0,0
2021-03-24,0,0,0,0
2021-03-25,0,0,0,0
2021-03-26,0,0,0,0
2021-03-27,0,0,0,0
2021-03-28,0,0,0,0
2021-03-29,0,0,0,0
2021-03-30,0,0,0,0
2021-03-31,0,0,0,0
2021-04-01,0,0,0,0
2021-04-02,0,0,0,0
2021-04-03,0,0,0,0
2021-04-04,0,0,0,0
2021-04-05,0,0,0,0
2021-04-06,0,0,0,0
2021-04-07,0,0,0,0
2021-04-08,0,0,0,0
2021-04-09,0,0,0,0
2021-04-10,0,0,0,0
2021-04-11,0,0,0,0
2021-04-12,0,0,0,0
2021-04-13,0,0,0,0
2021-04-14,0,0,0,0
2021-04-15,0,0,0,0
2021-04-16,0,0,0,0
2021-04-17,0,0,0,0
2021-04-18,0,0,0,0
2021-04-19,0,0,0,0
2021-04-20,0,0,0,0
2021-04-21,0,0,0,0
2021-04-22,0,0,0,0
2021-04-23,0,0,0,0
2021-04-24,0,0,0,0
2021-04-25,0,0,0,0
2021-04-26,0,0,0,0
2021-04-27,0,0,0,0
2021-04-28,0,0,0,0
2021-04-29,0,0,0,0
2021-04-30,0,0,0,0
2021-05-01,0,0,0,0
2021-05-02,0,0,0,0
2021-05-03,0,0,0,0
2021-05-04,0,0,0,0
2021-05-05,0,0,0,0
2021-05-06,0,0,0,0
2021-05-07,0,0,0,0
2021-05-08,0,0,0,0
2021-05-09,0,0,0,0
2021-05-10,0,0,0,0
2021-05-11,0,0,0,0
2021-05-12,0,0,0,0
2021-05-13,0,0,0,0
2021-05-14,0,0,0,0
2021-05-15,0,0,0,0
2021-05-16,0,0,0,0
2021-05-17,0,0,0,0
2021-05-18,0,0,0,0
2021-05-19,0,0,0,0
2021-05-20,0,0,0,0
2021-05-21,0,0,0,0
2021-05-22,0,0,0,0
2021-05-23,0,0,0,0
2021-05-24,0,0,0,0
2021-05-25,0,0,0,0
2021-05-26,0,0,0,0
2021-05-27,0,0,0,0
2021-05-28,0,0,0,0
2021-05-29,0,0,0,0
2021-05-30,0,0,0,0
2021-05-31,0,0,0,0
2021-06-01,0,0,0,0
2021-06-02,0,0,0,0
2021-06-03,0,0,0,0
2021-06-04,0,0,0,0
2021-06-05,0,0,0,0
2021-06-06,0,0,0,0
2021-06-07,0,0,0,0
2021-06-08,0,0,0,0
2021-06-09,0,0,0,0
2021-06-10,0,0,0,0
2021-06-11,0,0,0,0
2021-06-12,0,0,0,0
2021-06-13,0,0,0,0
2021-06-14,0,0,0,0
2021-06-15,0,0,0,0
2021-06-16,0,0,0,0
2021-06-17,0,0,0,0
2021-06-18,0,0,0,0
2021-06-19,0,0,0,0
2021-06-20,0,0,0,0
2021-06-21,0,0,0,0
2021-06-22,0,0,0,0
2021-06-23,0,0,0,0
2021-06-24,0,0,0,0
2021-06-25,0,0,0,0
2021-06-26,0,0,0,0
2021-06-27,0,0,0,0
2021-06-28,0,0,0,0
2021-06-29,0,0,0,0
2021-06-30,0,0,0,0
2021-07-01,0,0,0,0
2021-07-02,0,0,0,0
2021-07-03,0,0,0,0
2021-07-04,0,0,0,0
2021-07-05,0,0,0,0
2021-07-06,0,0,0,0
2021-07-07,0,0,0,0
2021-07-08,0,0,0,0
2021-07-09,0,0,0,0
2021-07-10,0,0,0,0
2021-07-11,0,0,0,0
2021-07-12,0,0,0,0
2021-07-13,0,0,0,0
2021-07-14,0,0,0,0
2021-07-15,0,0,0,0
2021-07-16,0,0,0,0
2021-07-17,0,0,0,0
2021-07-18,0,0,0,0
2021-07-19,0,0,0,0
2021-07-20,0,0,0,0
2021-07-21,0,0,0,0
2021-07-22,0,0,0,0
2021-07-23,0,0,0,0
2021-07-24,0,0,0,0
2021-07-25,0,0,0,0
2021-07-26,0,0,0,0
2021-07-27,0,0,0,0
2021-07-28,0,0,0,0
2021-07-29,0,0,0,0
2021-07-30,0,0,0,0
2021-07-31,0,0,0,0
2021-08-01,0,0,0,0
2021-08-02,0,0,0,0
2021-08-03,0,0,0,0
2021-08-04,0,0,0,0
2021-08-05,0,0,0,0
2021-08-06,0,0,0,0
2021-08-07,0,0,0,0
2021-08-08,0,0,0,0
2021-08-09,0,0,0,0
2021-08-10,0,0,0,0
2021-08-11,0,0,0,0
2021-08-12,0,0,0,0
2021-08-13,0,0,0,0
2021-08-14,0,0,0,0
2021-08-15,0,0,0,0
2021-08-16,0,0,0,0
2021-08-17,0,0,0,0
2021-08-18,0,0,0,0
2021-08-19,0,0,0,0
2021-08-20,0,0,0,0
2021-08-21,0,0,0,0
2021-08-22,0,0,0,0
2021-08-23,0,0,0,0
2021-08-24,0,0,0,0
2021-08-25,0,0,0,0
2021-08-26,0,0,0,0
2021-08-27,0,0,0,0
2021-08-28,0,0,0,0
2021-08-29,0,0,0,0
2021-08-30,0,0,0,0
2021-08-31,0,0,0,0
2021-09-01,0,0,0,0
2021-09-02,0,0,0,0
2021-09-03,0,0,0,0
2021-09-04,0,0,0,0
2021-09-05,0,0,0,0
2021-09-06,0,0,0,0
2021-09-07,0,0,0,0
2021-09-08,0,0,0,0
2021-09-09,0,0,0,0
2021-09-10,0,0,0,0
2021-09-11,0,0,0,0
2021-09-12,0,0,0,0
2021-09-13,0,0,0,0
2021-09-14,0,0,0,0
2021-09-15,0,0,0,0
2021-09-16,0,0,0,0
2021-09-17,0,0,0,0
2021-09-18,0,0,0,0
2021-09-19,0,0,0,0
2021-09-20,0,0,0,0
2021-09-21,0,0,0,0
2021-09-22,0,0,0,0
2021-09-23,0,0,0,0
2021-09-24,0,0,0,0
2021-09-25,0,0,0,0
2021-09-26,0,0,0,0
2021-09-27,0,0,0,0
2021-09-28,0,0,0,0
2021-09-29,0,0,0,0
2021-09-30,0,0,0,0
2021-10-01,0,0,0,0
2021-10-02,0,0,0,0
2021-10-03,0,0,0,0
2021-10-04,0,0,0,0
2021-10-05,0,0,0,0
2021-10-06,0,0,0,0
2021-10-07,0,0,0,0
2021-10-08,0,0,0,0
2021-10-09,0,0,0,0
2021-10-10,0,0,0,0
2021-10-11,0,0,0,0
2021-10-12,0,0,0,0
2021-10-13,0,0,0,0
2021-10-14,0,0,0,0
2021-10-15,0,0,0,0
2021-10-16,0,0,0,0
2021-10-17,0,0,0,0
2021-10-18,0,0,0,0
2021-10-19,0,0,0,0
2021-10-20,0,0,0,0
2021-10-21,0,0,0,0
2021-10-22,0,0,0,0
2021-10-23,0,0,0,0
2021-10-24,0,0,0,0
2021-10-25,0,0,0,0
2021-10-26,0,0,0,0
2021-10-27,0,0,0,0
2021-10-28,0,0,0,0
2021-10-29,0,0,0,0
2021-10-30,0,0,0,0
2021-10-31,0,0,0,0
2021-11-01,0,0,0,0
2021-11-02,0,0,0,0
2021-11-03,0,0,0,0
2021-11-04,0,0,0,0
2021-11-05,0,0,0,0
2021-11-06,0,0,0,0
2021-11-07,0,0,0,0
2021-11-08,0,0,0,0
2021-11-09,0,0,0,0
2021-11-10,0,0,0,0
2021-11-11,0,0,0,0
2021-11-12,0,0,0,0
2021-11-13,0,0,0,0
2021-11-14,0,0,0,0
2021-11-15,0,0,0,0
2021-11-16,0,0,0,0
2021-11-17,0,0,0,0
2021-11-18,0,0,0,0
2021-11-19,0,0,0,0
2021-11-20,0,0,0,0
2021-11-21,0,0,0,0
2021-11-22,0,0,0,0
2021-11-23,0,0,0,0
2021-11-24,0,0,0,0
2021-11-25,0,0,0,0
2021-11-26,0,0,0,0
2021-11-27,0,0,0,0
2021-11-28,0,0,0,0
2021-11-29,0,0,0,0
2021-11-30,0,0,0,0
2021-12-01,0,0,0,0
2021-12-02,0,0,0,0
2021-12-03,0,0,0,0
2021-12-04,0,0,0,0
2021-12-05,0,0,0,0
2021-12-06,0,0,0,0
2021-12-07,0,0,0,0
2021-12-08,0,0,0,0
2021-12-09,0,0,0,0
2021-12-10,0,0,0,0
2021-12-11,0,0,0,0
2021-12-12,0,0,0,0
2021-12-13,0,0,0,0
2021-12-14,0,0,0,0
2021-12-15,0,0,0,0
2021-12-16,0,0,0,0
2021-12-17,0,0,0,0
2021-12-18,0,0,0,0
2021-12-19,0,0,0,0
2021-12-20,0,0,0,0
2021-12-21,0,0,0,0
2021-12-22,0,0,0,0
2021-12-23,0,0,0,0
2021-12-24,0,0,0,0
2021-12-25,0,0,0,0
2021-12-26,0,0,0,0
2021-12-27,0,0,0,0
2021-12-28,0,0,0,0
2021-12-29,0,0,0,0
2021-12-30,0,0,0,0
2021-12-31,0,0,0,0
2022-01-01,0,0,0,0
2022-01-02,0,0,0,0
2022-01-03,0,0,0,0
2022-01-04,0,0,0,0
2022-01-05,16,16,0,0
2022-01-06,7,10,3,0
2022-01-07,15,15,0,0
2022-01-08,9,9,0,0
2022-01-09,17,18,1,0
2022-01-10,5,5,0,0
2022-01-11,8,9,1,0
2022-01-12,11,11,0,0
2022-01-13,8,9,1,0
2022-01-14,8,8,0,0
2022-01-15,8,8,0,0
2022-01-16,9,9,0,0
2022-01-17,11,12,1,0
2022-01-18,6,7,1,0
2022-01-19,6,7,1,0
2022-01-20,12,13,1,0
2022-01-21,7,7,0,0
2022-01-22,13,14,1,0
2022-01-23,13,13,0,0
2022-01-24,12,12,0,0
2022-01-25,8,8,0,0
2022-01-26,8,11,3,0
2022-01-27,13,13,0,0
2022-01-28,5,5,0,0
2022-01-29,8,9,1,0
2022-01-30,11,12,1,0
2022-01-31,14,14,0,0
2022-02-01,2,5,3,0
2022-02-02,6,6,0,0
2022-02-03,15,16,1,0
2022-02-04,8,9,1,0
2022-02-05,16,17,1,0
2022-02-06,14,14,0,0
2022-02-07,17,18,1,0
2022-02-08,22,22,0,0
2022-02-09,18,19,1,0
2022-02-10,11,14,3,0
2022-02-11,21,21,0,0
2022-02-12,17,18,1,0
2022-02-13,21,24,3,0
2022-02-14,10,11,1,0
2022-02-15,20,20,0,0
2022-02-16,14,14,0,0
2022-02-17,9,10,1,0
2022-02-18,13,13,0,0
2022-02-19,20,20,0,0
2022-02-20,9,10,1,0
2022-02-21,21,21,0,0
2022-02-22,10,10,0,0
2022-02-23,7,10,3,0
2022-02-24,10,12,2,0
2022-02-25,5,5,0,0
2022-02-26,11,11,0,0
2022-02-27,12,12,0,0
2022-02-28,9,10,1,0
2022-03-01,14,15,1,0
2022-03-02,14,14,0,0
2022-03-03,8,10,2,0
2022-03-04,13,16,3,0
2022-03-05,5,7,2,0
2022-03-06,8,9,1,0
2022-03-07,11,12,1,0
2022-03-08,8,8,0,0
2022-03-09,9,10,1,0
2022-03-10,8,8,0,0
2022-03-11,11,12,1,0
2022-03-12,13,13,0,0
2022-03-13,10,12,2,0
2022-03-14,10,10,0,0
2022-03-15,10,12,2,0
2022-03-16,10,10,0,0
2022-03-17,5,7,2,0
2022-03-18,8,9,1,0
2022-03-19,9,12,3,0
2022-03-20,10,15,5,0
2022-03-21,7,9,2,0
2022-03-22,8,8,0,0
2022-03-23,14,15,1,0
2022-03-24,13,13,0,0
2022-03-25,6,8,2,0
2022-03-26,13,15,2,0
2022-03-27,12,12,0,0
2022-03-28,6,6,0,0
2022-03-29,9,9,0,0
2022-03-30,11,12,1,0
2022-03-31,11,11,0,0
2022-04-01,8,8,0,0
2022-04-02,9,9,0,0
2022-04-03,13,13,0,0
2022-04-04,4,7,3,0
2022-04-05,6,7,1,0
2022-04-06,13,14,1,0
2022-04-07,11,13,2,0
2022-04-08,8,8,0,0
2022-04-09,11,11,0,0
2022-04-10,7,7,0,0
2022-04-11,10,13,3,0
2022-04-12,13,14,1,0
2022-04-13,24,24,0,0
2022-04-14,33,34,1,0
2022-04-15,26,28,2,0
2022-04-16,19,23,4,0
2022-04-17,20,20,0,0
2022-04-18,21,22,1,0
2022-04-19,17,18,1,0
2022-04-20,24,24,0,0
2022-04-21,30,32,2,0
2022-04-22,9,9,0,0
2022-04-23,21,21,0,0
2022-04-24,15,15,0,0
2022-04-25,11,12,1,0
2022-04-26,34,35,1,0
2022-04-27,9,10,1,0
2022-04-28,12,12,0,0
2022-04-29,13,13,0,0
2022-04-30,12,12,0,0
2022-05-01,10,10,0,0
2022-05-02,9,9,0,0
2022-05-03,15,15,0,0
2022-05-04,7,10,3,0
2022-05-05,9,11,2,0
2022-05-06,6,6,0,0
2022-05-07,17,17,0,0
2022-05-08,15,19,4,0
2022-05-09,2,3,1,0
2022-05-10,13,13,0,0
2022-05-11,6,7,1,0
2022-05-12,11,11,0,0
2022-05-13,13,15,2,0
2022-05-14,13,13,0,0
2022-05-15,16,17,1,0
2022-05-16,6,8,2,0
2022-05-17,17,19,2,0
2022-05-18,15,16,1,0
2022-05-19,11,11,0,0
2022-05-20,14,14,0,0
2022-05-21,17,17,0,0
2022-05-22,19,20,1,0
2022-05-23,18,22,4,0
2022-05-24,2,5,3,0
2022-05-25,20,22,2,0
2022-05-26,15,16,1,0
2022-05-27,15,17,2,0
2022-05-28,9,10,1,0
2022-05-29,18,19,1,0
2022-05-30,15,15,0,0
2022-05-31,14,14,0,0
2022-06-01,13,15,2,0
2022-06-02,8,10,2,0
2022-06-03,12,14,2,0
2022-06-04,13,15,2,0
2022-06-05,12,12,0,0
2022-06-06,6,6,0,0
2022-06-07,13,13,0,0
2022-06-08,13,13,0,0
2022-06-09,12,12,0,0
2022-06-10,12,12,0,0
2022-06-11,9,9,0,0
2022-06-12,11,11,0,0
2022-06-13,15,15,0,0
2022-06-14,18,18,0,0
2022-06-15,6,6,0,0
2022-06-16,9,10,1,0
2022-06-17,4,5,1,0
2022-06-18,13,15,2,0
2022-06-19,8,8,0,0
2022-06-20,16,18,2,0
2022-06-21,10,11,1,0
2022-06-22,10,10,0,0
2022-06-23,13,14,1,0
2022-06-24,12,12,0,0
2022-06-25,5,5,0,0
2022-06-26,5,5,0,0
2022-06-27,7,7,0,0
2022-06-28,8,8,0,0
2022-06-29,11,11,0,0
2022-06-30,7,8,1,0
2022-07-01,14,15,1,0
2022-07-02,10,11,1,0
2022-07-03,10,11,1,0
2022-07-04,13,13,0,0
2022-07-05,10,10,0,0
2022-07-06,9,9,0,0
2022-07-07,5,5,0,0
2022-07-08,8,9,1,0
2022-07-09,5,6,1,0
2022-07-10,15,15,0,0
2022-07-11,5,6,1,0
2022-07-12,9,10,1,0
2022-07-13,7,7,0,0
2022-07-14,9,10,1,0
2022-07-15,5,5,0,0
2022-07-16,13,13,0,0
2022-07-17,10,13,3,0
2022-07-18,14,16,2,0
2022-07-19,10,10,0,0
2022-07-20,9,10,1,0
2022-07-21,13,13,0,0
2022-07-22,9,9,0,0
2022-07-23,12,12,0,0
2022-07-24,15,15,0,0
2022-07-25,8,11,3,0
2022-07-26,11,11,0,0
2022-07-27,7,8,1,0
2022-07-28,7,9,2,0
2022-07-29,16,17,1,0
2022-07-30,12,12,0,0
2022-07-31,7,7,0,0
2022-08-01,20,21,1,0
2022-08-02,12,12,0,0
2022-08-03,14,14,0,0
2022-08-04,9,9,0,0
2022-08-05,10,10,0,0
2022-08-06,11,12,1,0
2022-08-07,11,11,0,0
2022-08-08,10,11,1,0
2022-08-09,12,12,0,0
2022-08-10,6,9,3,0
2022-08-11,13,14,1,0
2022-08-12,5,6,1,0
2022-08-13,7,11,4,0
2022-08-14,5,5,0,0
2022-08-15,6,6,0,0
2022-08-16,11,13,2,0
2022-08-17,8,8,0,0
2022-08-18,13,13,0,0
2022-08-19,9,11,2,0
2022-08-20,5,8,3,0
2022-08-21,7,7,0,0
2022-08-22,8,8,0,0
2022-08-23,10,10,0,0
2022-08-24,4,5,1,0
2022-08-25,11,12,1,0
2022-08-26,12,12,0,0
2022-08-27,8,9,1,0
2022-08-28,23,23,0,0
2022-08-29,15,15,0,0
2022-08-30,13,14,1,0
2022-08-31,4,5,1,0
2022-09-01,12,12,0,0
2022-09-02,15,15,0,0
2022-09-03,3,3,0,0
2022-09-04,8,8,0,0
2022-09-05,10,10,0,0
2022-09-06,4,4,0,0
2022-09-07,9,9,0,0
2022-09-08,6,8,2,0
2022-09-09,5,7,2,0
2022-09-10,16,17,1,0
2022-09-11,17,20,3,0
2022-09-12,12,12,0,0
2022-09-13,17,18,1,0
2022-09-14,15,15,0,0
2022-09-15,10,10,0,0
2022-09-16,14,16,2,0
2022-09-17,15,15,0,0
2022-09-18,16,16,0,0
2022-09-19,11,11,0,0
2022-09-20,12,12,0,0
2022-09-21,10,10,0,0
2022-09-22,6,6,0,0
2022-09-23,8,9,1,0
2022-09-24,9,9,0,0
2022-09-25,4,4,0,0
2022-09-26,10,11,1,0
2022-09-27,11,11,0,0
2022-09-28,10,10,0,0
2022-09-29,18,18,0,0
2022-09-30,10,10,0,0
2022-10-01,13,13,0,0
2022-10-02,4,4,0,0
2022-10-03,3,3,0,0
2022-10-04,8,8,0,0
2022-10-05,14,15,1,0
2022-10-06,17,17,0,0
2022-10-07,12,12,0,0
2022-10-08,11,12,1,0
2022-10-09,7,7,0,0
2022-10-10,11,12,1,0
2022-10-11,11,12,1,0
2022-10-12,6,7,1,0
2022-10-13,6,6,0,0
2022-10-14,12,12,0,0
2022-10-15,9,9,0,0
2022-10-16,9,10,1,0
2022-10-17,7,7,0,0
2022-10-18,10,10,0,0
2022-10-19,13,13,0,0
2022-10-20,8,8,0,0
2022-10-21,15,15,0,0
2022-10-22,9,10,1,0
2022-10-23,14,15,1,0
2022-10-24,19,19,0,0
2022-10-25,5,7,2,0
2022-10-26,10,10,0,0
2022-10-27,5,5,0,0
2022-10-28,7,8,1,0
2022-10-29,11,13,2,0
2022-10-30,12,12,0,0
2022-10-31,8,8,0,0
2022-11-01,10,10,0,0
2022-11-02,9,9,0,0
2022-11-03,15,15,0,0
2022-11-04,9,9,0,0
2022-11-05,9,9,0,0
2022-11-06,14,17,3,0
2022-11-07,6,7,1,0
2022-11-08,2,3,1,0
2022-11-09,15,15,0,0
2022-11-10,12,14,2,0
2022-11-11,9,9,0,0
2022-11-12,10,12,2,0
2022-11-13,12,13,1,0
2022-11-14,11,11,0,0
2022-11-15,9,10,1,0
2022-11-16,9,10,1,0
2022-11-17,13,15,2,0
2022-11-18,5,7,2,0
2022-11-19,6,7,1,0
2022-11-20,12,12,0,0
2022-11-21,8,9,1,0
2022-11-22,15,16,1,0
2022-11-23,7,7,0,0
2022-11-24,7,7,0,0
2022-11-25,14,15,1,0
2022-11-26,16,16,0,0
2022-11-27,4,6,2,0
2022-11-28,9,10,1,0
2022-11-29,8,8,0,0
2022-11-30,9,9,0,0
2022-12-01,5,5,0,0
2022-12-02,5,5,0,0
2022-12-03,4,5,1,0
2022-12-04,12,12,0,0
2022-12-05,11,11,0,0
2022-12-06,6,6,0,0
2022-12-07,10,10,0,0
2022-12-08,7,7,0,0
2022-12-09,15,15,0,0
2022-12-10,5,5,0,0
2022-12-11,10,11,1,0
2022-12-12,8,8,0,0
2022-12-13,9,9,0,0
2022-12-14,4,5,1,0
2022-12-15,7,7,0,0
2022-12-16,5,5,0,0
2022-12-17,5,5,0,0
2022-12-18,7,7,0,0
2022-12-19,4,4,0,0
2022-12-20,8,9,1,0
2022-12-21,7,7,0,0
2022-12-22,4,5,1,0
2022-12-23,6,7,1,0
2022-12-24,14,14,0,0
2022-12-25,9,9,0,0
2022-12-26,12,12,0,0
2022-12-27,7,7,0,0
2022-12-28,11,12,1,0
2022-12-29,15,15,0,0
2022-12-30,12,14,2,0
2022-12-31,15,15,0,0
2023-01-01,5,6,1,0
2023-01-02,9,10,1,0
2023-01-03,10,10,0,0
2023-01-04,10,11,1,0
2023-01-05,2,4,2,0
2023-01-06,13,13,0,0
2023-01-07,7,7,0,0
2023-01-08,12,12,0,0
2023-01-09,17,17,0,0
2023-01-10,8,9,1,0
2023-01-11,3,4,1,0
2023-01-12,3,3,0,0
2023-01-13,3,4,1,0
2023-01-14,10,10,0,0
2023-01-15,15,16,1,0
2023-01-16,9,9,0,0
2023-01-17,8,9,1,0
2023-01-18,10,10,0,0
2023-01-19,13,14,1,0
2023-01-20,7,7,0,0
2023-01-21,6,9,3,0
2023-01-22,21,23,2,0
2023-01-23,14,14,0,0
2023-01-24,5,5,0,0
2023-01-25,8,12,4,0
2023-01-26,9,9,0,0
2023-01-27,4,6,2,0
2023-01-28,18,18,0,0
2023-01-29,8,8,0,0
2023-01-30,8,8,0,0
2023-01-31,8,8,0,0
2023-02-01,2,6,4,0
2023-02-02,3,3,0,0
2023-02-03,10,10,0,0
2023-02-04,9,9,0,0
2023-02-05,0,0,0,0
2023-02-06,6,6,0,1
2023-02-07,12,12,0,0
2023-02-08,6,6,0,0
2023-02-09,4,4,0,0
2023-02-10,10,14,4,0
2023-02-11,13,14,1,0
2023-02-12,15,17,2,0
2023-02-13,11,11,0,0
2023-02-14,14,14,0,0
2023-02-15,8,9,1,0
2023-02-16,4,5,1,0
2023-02-17,10,11,1,0
2023-02-18,10,11,1,0
2023-02-19,8,8,0,0
2023-02-20,9,9,0,0
2023-02-21,9,11,2,0
2023-02-22,10,11,1,0
2023-02-23,6,7,1,0
2023-02-24,5,7,2,0
2023-02-25,5,6,1,0
2023-02-26,12,12,0,0
2023-02-27,11,11,0,0
2023-02-28,7,7,0,0
2023-03-01,10,10,0,0
2023-03-02,7,7,0,0
2023-03-03,6,6,0,0
2023-03-04,69,69,0,0
2023-03-05,7,9,2,0
2023-03-06,6,7,1,0
2023-03-07,11,11,0,0
2023-03-08,6,7,1,0
2023-03-09,7,7,0,0
2023-03-10,9,9,0,0
2023-03-11,7,8,1,0
2023-03-12,9,9,0,0
2023-03-13,0,2,2,0
2023-03-14,6,6,0,0
2023-03-15,9,10,1,0
2023-03-16,8,8,0,0
2023-03-17,4,4,0,0
2023-03-18,8,8,0,0
2023-03-19,5,5,0,0
2023-03-20,6,8,2,0
2023-03-21,10,11,1,0
2023-03-22,8,8,0,0
2023-03-23,8,8,0,0
2023-03-24,6,6,0,0
2023-03-25,7,8,1,0
2023-03-26,6,7,1,0
2023-03-27,9,10,1,0
2023-03-28,15,15,0,0
2023-03-29,6,8,2,0
2023-03-30,9,10,1,0
2023-03-31,9,9,0,0
2023-04-01,9,12,3,0
2023-04-02,11,13,2,0
2023-04-03,3,4,1,0
2023-04-04,11,11,0,0
2023-04-05,6,8,2,0
2023-04-06,13,13,0,0
2023-04-07,5,5,0,0
