Date,Net Clicks,Install Clicks,Uninstall Clicks,Update Clicks
2020-12-02,0,0,0,0
2020-12-03,0,0,0,0
2020-12-04,0,0,0,0
2020-12-05,0,0,0,0
2020-12-06,0,0,0,0
2020-12-07,0,0,0,0
2020-12-08,0,0,0,0
2020-12-09,0,0,0,0
2020-12-10,0,0,0,0
2020-12-11,0,0,0,0
2020-12-12,0,0,0,0
2020-12-13,0,0,0,0
2020-12-14,0,0,0,0
2020-12-15,0,0,0,0
2020-12-16,0,0,0,0
2020-12-17,0,0,0,0
2020-12-18,0,0,0,0
2020-12-19,0,0,0,0
2020-12-20,0,0,0,0
2020-12-21,0,0,0,0
2020-12-22,0,0,0,0
2020-12-23,0,0,0,0
2020-12-24,0,0,0,0
2020-12-25,0,0,0,0
2020-12-26,0,0,0,0
2020-12-27,0,0,0,0
2020-12-28,0,0,0,0
2020-12-29,0,0,0,0
2020-12-30,0,0,0,0
2020-12-31,0,0,0,0
2021-01-01,0,0,0,0
2021-01-02,0,0,0,0
2021-01-03,0,0,0,0
2021-01-04,0,0,0,0
2021-01-05,0,0,0,0
2021-01-06,0,0,0,0
2021-01-07,0,0,0,0
2021-01-08,0,0,0,0
2021-01-09,0,0,0,0
2021-01-10,0,0,0,0
2021-01-11,0,0,0,0
2021-01-12,0,0,0,0
2021-01-13,0,0,0,0
2021-01-14,0,0,0,0
2021-01-15,0,0,0,0
2021-01-16,0,0,0,0
2021-01-17,0,0,0,0
2021-01-18,0,0,0,0
2021-01-19,0,0,0,0
2021-01-20,0,0,0,0
2021-01-21,0,0,0,0
2021-01-22,0,0,0,0
2021-01-23,0,0,0,0
2021-01-24,0,0,0,0
2021-01-25,0,0,0,0
2021-01-26,0,0,0,0
2021-01-27,0,0,0,0
2021-01-28,0,0,0,0
2021-01-29,0,0,0,0
2021-01-30,0,0,0,0
2021-01-31,0,0,0,0
2021-02-01,0,0,0,0
2021-02-02,0,0,0,0
2021-02-03,0,0,0,0
2021-02-04,0,0,0,0
2021-02-05,0,0,0,0
2021-02-06,0,0,0,0
2021-02-07,0,0,0,0
2021-02-08,0,0,0,0
2021-02-09,0,0,0,0
2021-02-10,0,0,0,0
2021-02-11,0,0,0,0
2021-02-12,0,0,0,0
2021-02-13,0,0,0,0
2021-02-14,0,0,0,0
2021-02-15,0,0,0,0
2021-02-16,0,0,0,0
2021-02-17,0,0,0,0
2021-02-18,0,0,0,0
2021-02-19,0,0,0,0
2021-02-20,0,0,0,0
2021-02-21,0,0,0,0
2021-02-22,0,0,0,0
2021-02-23,0,0,0,0
2021-02-24,0,0,0,0
2021-02-25,0,0,0,0
2021-02-26,0,0,0,0
2021-02-27,0,0,0,0
2021-02-28,0,0,0,0
2021-03-01,0,0,0,0
2021-03-02,0,0,0,0
2021-03-03,0,0,0,0
2021-03-04,0,0,0,0
2021-03-05,0,0,0,0
2021-03-06,0,0,0,0
2021-03-07,0,0,0,0
2021-03-08,0,0,0,0
2021-03-09,0,0,0,0
2021-03-10,0,0,0,0
2021-03-11,0,0,0,0
2021-03-12,0,0,0,0
2021-03-13,0,0,0,0
2021-03-14,0,0,0,0
2021-03-15,0,0,0,0
2021-03-16,0,0,0,0
2021-03-17,0,0,0,0
2021-03-18,0,0,0,0
2021-03-19,0,0,0,0
2021-03-20,0,0,0,0
2021-03-21,0,0,0,0
2021-03-22,0,0,0,0
2021-03-23,0,0,0,0
2021-03-24,0,0,0,0
2021-03-25,0,0,0,0
2021-03-26,0,0,0,0
2021-03-27,0,0,0,0
2021-03-28,0,0,0,0
2021-03-29,0,0,0,0
2021-03-30,0,0,0,0
2021-03-31,0,0,0,0
2021-04-01,0,0,0,0
2021-04-02,0,0,0,0
2021-04-03,0,0,0,0
2021-04-04,0,0,0,0
2021-04-05,0,0,0,0
2021-04-06,0,0,0,0
2021-04-07,0,0,0,0
2021-04-08,0,0,0,0
2021-04-09,0,0,0,0
2021-04-10,0,0,0,0
2021-04-11,0,0,0,0
2021-04-12,0,0,0,0
2021-04-13,0,0,0,0
2021-04-14,0,0,0,0
2021-04-15,0,0,0,0
2021-04-16,0,0,0,0
2021-04-17,0,0,0,0
2021-04-18,0,0,0,0
2021-04-19,0,0,0,0
2021-04-20,0,0,0,0
2021-04-21,0,0,0,0
2021-04-22,0,0,0,0
2021-04-23,0,0,0,0
2021-04-24,0,0,0,0
2021-04-25,0,0,0,0
2021-04-26,0,0,0,0
2021-04-27,0,0,0,0
2021-04-28,0,0,0,0
2021-04-29,0,0,0,0
2021-04-30,0,0,0,0
2021-05-01,0,0,0,0
2021-05-02,0,0,0,0
2021-05-03,0,0,0,0
2021-05-04,0,0,0,0
2021-05-05,0,0,0,0
2021-05-06,0,0,0,0
2021-05-07,0,0,0,0
2021-05-08,0,0,0,0
2021-05-09,0,0,0,0
2021-05-10,0,0,0,0
2021-05-11,0,0,0,0
2021-05-12,0,0,0,0
2021-05-13,0,0,0,0
2021-05-14,0,0,0,0
2021-05-15,0,0,0,0
2021-05-16,0,0,0,0
2021-05-17,0,0,0,0
2021-05-18,0,0,0,0
2021-05-19,0,0,0,0
2021-05-20,0,0,0,0
2021-05-21,0,0,0,0
2021-05-22,0,0,0,0
2021-05-23,0,0,0,0
2021-05-24,0,0,0,0
2021-05-25,0,0,0,0
2021-05-26,0,0,0,0
2021-05-27,0,0,0,0
2021-05-28,0,0,0,0
2021-05-29,0,0,0,0
2021-05-30,0,0,0,0
2021-05-31,0,0,0,0
2021-06-01,0,0,0,0
2021-06-02,0,0,0,0
2021-06-03,0,0,0,0
2021-06-04,0,0,0,0
2021-06-05,0,0,0,0
2021-06-06,0,0,0,0
2021-06-07,0,0,0,0
2021-06-08,0,0,0,0
2021-06-09,0,0,0,0
2021-06-10,0,0,0,0
2021-06-11,0,0,0,0
2021-06-12,0,0,0,0
2021-06-13,0,0,0,0
2021-06-14,0,0,0,0
2021-06-15,0,0,0,0
2021-06-16,0,0,0,0
2021-06-17,0,0,0,0
2021-06-18,0,0,0,0
2021-06-19,0,0,0,0
2021-06-20,0,0,0,0
2021-06-21,0,0,0,0
2021-06-22,0,0,0,0
2021-06-23,0,0,0,0
2021-06-24,0,0,0,0
2021-06-25,0,0,0,0
2021-06-26,0,0,0,0
2021-06-27,0,0,0,0
2021-06-28,0,0,0,0
2021-06-29,0,0,0,0
2021-06-30,0,0,0,0
2021-07-01,0,0,0,0
2021-07-02,0,0,0,0
2021-07-03,0,0,0,0
2021-07-04,0,0,0,0
2021-07-05,0,0,0,0
2021-07-06,0,0,0,0
2021-07-07,0,0,0,0
2021-07-08,0,0,0,0
2021-07-09,0,0,0,0
2021-07-10,0,0,0,0
2021-07-11,0,0,0,0
2021-07-12,0,0,0,0
2021-07-13,0,0,0,0
2021-07-14,0,0,0,0
2021-07-15,0,0,0,0
2021-07-16,0,0,0,0
2021-07-17,0,0,0,0
2021-07-18,0,0,0,0
2021-07-19,0,0,0,0
2021-07-20,0,0,0,0
2021-07-21,0,0,0,0
2021-07-22,0,0,0,0
2021-07-23,0,0,0,0
2021-07-24,0,0,0,0
2021-07-25,0,0,0,0
2021-07-26,0,0,0,0
2021-07-27,0,0,0,0
2021-07-28,0,0,0,0
2021-07-29,0,0,0,0
2021-07-30,0,0,0,0
2021-07-31,0,0,0,0
2021-08-01,0,0,0,0
2021-08-02,0,0,0,0
2021-08-03,0,0,0,0
2021-08-04,0,0,0,0
2021-08-05,0,0,0,0
2021-08-06,0,0,0,0
2021-08-07,0,0,0,0
2021-08-08,0,0,0,0
2021-08-09,0,0,0,0
2021-08-10,0,0,0,0
2021-08-11,0,0,0,0
2021-08-12,0,0,0,0
2021-08-13,0,0,0,0
2021-08-14,0,0,0,0
2021-08-15,0,0,0,0
2021-08-16,0,0,0,0
2021-08-17,0,0,0,0
2021-08-18,0,0,0,0
2021-08-19,0,0,0,0
2021-08-20,0,0,0,0
2021-08-21,0,0,0,0
2021-08-22,0,0,0,0
2021-08-23,0,0,0,0
2021-08-24,0,0,0,0
2021-08-25,0,0,0,0
2021-08-26,0,0,0,0
2021-08-27,0,0,0,0
2021-08-28,0,0,0,0
2021-08-29,0,0,0,0
2021-08-30,0,0,0,0
2021-08-31,0,0,0,0
2021-09-01,0,0,0,0
2021-09-02,0,0,0,0
2021-09-03,0,0,0,0
2021-09-04,0,0,0,0
2021-09-05,0,0,0,0
2021-09-06,0,0,0,0
2021-09-07,0,0,0,0
2021-09-08,0,0,0,0
2021-09-09,0,0,0,0
2021-09-10,0,0,0,0
2021-09-11,0,0,0,0
2021-09-12,0,0,0,0
2021-09-13,0,0,0,0
2021-09-14,0,0,0,0
2021-09-15,0,0,0,0
2021-09-16,0,0,0,0
2021-09-17,0,0,0,0
2021-09-18,0,0,0,0
2021-09-19,0,0,0,0
2021-09-20,0,0,0,0
2021-09-21,0,0,0,0
2021-09-22,0,0,0,0
2021-09-23,0,0,0,0
2021-09-24,0,0,0,0
2021-09-25,0,0,0,0
2021-09-26,0,0,0,0
2021-09-27,0,0,0,0
2021-09-28,0,0,0,0
2021-09-29,0,0,0,0
2021-09-30,0,0,0,0
2021-10-01,0,0,0,0
2021-10-02,0,0,0,0
2021-10-03,0,0,0,0
2021-10-04,0,0,0,0
2021-10-05,0,0,0,0
2021-10-06,0,0,0,0
2021-10-07,0,0,0,0
2021-10-08,0,0,0,0
2021-10-09,0,0,0,0
2021-10-10,0,0,0,0
2021-10-11,0,0,0,0
2021-10-12,0,0,0,0
2021-10-13,0,0,0,0
2021-10-14,0,0,0,0
2021-10-15,0,0,0,0
2021-10-16,0,0,0,0
2021-10-17,0,0,0,0
2021-10-18,0,0,0,0
2021-10-19,0,0,0,0
2021-10-20,0,0,0,0
2021-10-21,0,0,0,0
2021-10-22,0,0,0,0
2021-10-23,0,0,0,0
2021-10-24,0,0,0,0
2021-10-25,0,0,0,0
2021-10-26,0,0,0,0
2021-10-27,0,0,0,0
2021-10-28,0,0,0,0
2021-10-29,0,0,0,0
2021-10-30,0,0,0,0
2021-10-31,0,0,0,0
2021-11-01,0,0,0,0
2021-11-02,0,0,0,0
2021-11-03,0,0,0,0
2021-11-04,0,0,0,0
2021-11-05,0,0,0,0
2021-11-06,0,0,0,0
2021-11-07,0,0,0,0
2021-11-08,0,0,0,0
2021-11-09,0,0,0,0
2021-11-10,0,0,0,0
2021-11-11,0,0,0,0
2021-11-12,0,0,0,0
2021-11-13,0,0,0,0
2021-11-14,0,0,0,0
2021-11-15,0,0,0,0
2021-11-16,0,0,0,0
2021-11-17,0,0,0,0
2021-11-18,0,0,0,0
2021-11-19,0,0,0,0
2021-11-20,0,0,0,0
2021-11-21,0,0,0,0
2021-11-22,0,0,0,0
2021-11-23,0,0,0,0
2021-11-24,0,0,0,0
2021-11-25,0,0,0,0
2021-11-26,0,0,0,0
2021-11-27,0,0,0,0
2021-11-28,0,0,0,0
2021-11-29,0,0,0,0
2021-11-30,0,0,0,0
2021-12-01,0,0,0,0
2021-12-02,0,0,0,0
2021-12-03,0,0,0,0
2021-12-04,0,0,0,0
2021-12-05,0,0,0,0
2021-12-06,0,0,0,0
2021-12-07,0,0,0,0
2021-12-08,0,0,0,0
2021-12-09,0,0,0,0
2021-12-10,0,0,0,0
2021-12-11,0,0,0,0
2021-12-12,0,0,0,0
2021-12-13,0,0,0,0
2021-12-14,0,0,0,0
2021-12-15,0,0,0,0
2021-12-16,0,0,0,0
2021-12-17,0,0,0,0
2021-12-18,0,0,0,0
2021-12-19,0,0,0,0
2021-12-20,0,0,0,0
2021-12-21,0,0,0,0
2021-12-22,0,0,0,0
2021-12-23,0,0,0,0
2021-12-24,0,0,0,0
2021-12-25,0,0,0,0
2021-12-26,0,0,0,0
2021-12-27,0,0,0,0
2021-12-28,0,0,0,0
2021-12-29,0,0,0,0
2021-12-30,0,0,0,0
2021-12-31,0,0,0,0
2022-01-01,0,0,0,0
2022-01-02,0,0,0,0
2022-01-03,0,0,0,0
2022-01-04,0,0,0,0
2022-01-05,0,0,0,0
2022-01-06,0,0,0,0
2022-01-07,0,0,0,0
2022-01-08,0,0,0,0
2022-01-09,0,0,0,0
2022-01-10,0,0,0,0
2022-01-11,0,0,0,0
2022-01-12,0,0,0,0
2022-01-13,0,0,0,0
2022-01-14,0,0,0,0
2022-01-15,0,0,0,0
2022-01-16,0,0,0,0
2022-01-17,0,0,0,0
2022-01-18,0,0,0,0
2022-01-19,0,0,0,0
2022-01-20,0,0,0,0
2022-01-21,0,0,0,0
2022-01-22,0,0,0,0
2022-01-23,0,0,0,0
2022-01-24,0,0,0,0
2022-01-25,0,0,0,0
2022-01-26,0,0,0,0
2022-01-27,0,0,0,0
2022-01-28,0,0,0,0
2022-01-29,0,0,0,0
2022-01-30,0,0,0,0
2022-01-31,0,0,0,0
2022-02-01,0,0,0,0
2022-02-02,0,0,0,0
2022-02-03,0,0,0,0
2022-02-04,0,0,0,0
2022-02-05,0,0,0,0
2022-02-06,0,0,0,0
2022-02-07,0,0,0,0
2022-02-08,0,0,0,0
2022-02-09,0,0,0,0
2022-02-10,0,0,0,0
2022-02-11,0,0,0,0
2022-02-12,0,0,0,0
2022-02-13,0,0,0,0
2022-02-14,0,0,0,0
2022-02-15,0,0,0,0
2022-02-16,0,0,0,0
2022-02-17,0,0,0,0
2022-02-18,0,0,0,0
2022-02-19,0,0,0,0
2022-02-20,0,0,0,0
2022-02-21,0,0,0,0
2022-02-22,0,0,0,0
2022-02-23,0,0,0,0
2022-02-24,0,0,0,0
2022-02-25,0,0,0,0
2022-02-26,0,0,0,0
2022-02-27,0,0,0,0
2022-02-28,0,0,0,0
2022-03-01,0,0,0,0
2022-03-02,0,0,0,0
2022-03-03,0,0,0,0
2022-03-04,0,0,0,0
2022-03-05,0,0,0,0
2022-03-06,0,0,0,0
2022-03-07,0,0,0,0
2022-03-08,0,0,0,0
2022-03-09,0,0,0,0
2022-03-10,0,0,0,0
2022-03-11,0,0,0,0
2022-03-12,0,0,0,0
2022-03-13,0,0,0,0
2022-03-14,0,0,0,0
2022-03-15,0,0,0,0
2022-03-16,0,0,0,0
2022-03-17,0,0,0,0
2022-03-18,0,0,0,0
2022-03-19,0,0,0,0
2022-03-20,0,0,0,0
2022-03-21,0,0,0,0
2022-03-22,0,0,0,0
2022-03-23,0,0,0,0
2022-03-24,0,0,0,0
2022-03-25,0,0,0,0
2022-03-26,0,0,0,0
2022-03-27,0,0,0,0
2022-03-28,0,0,0,0
2022-03-29,0,0,0,0
2022-03-30,0,0,0,0
2022-03-31,0,0,0,0
2022-04-01,0,0,0,0
2022-04-02,0,0,0,0
2022-04-03,0,0,0,0
2022-04-04,0,0,0,0
2022-04-05,0,0,0,0
2022-04-06,0,0,0,0
2022-04-07,0,0,0,0
2022-04-08,0,0,0,0
2022-04-09,0,0,0,0
2022-04-10,0,0,0,0
2022-04-11,0,0,0,0
2022-04-12,0,0,0,0
2022-04-13,0,0,0,0
2022-04-14,0,0,0,0
2022-04-15,0,0,0,0
2022-04-16,0,0,0,0
2022-04-17,0,0,0,0
2022-04-18,0,0,0,0
2022-04-19,0,0,0,0
2022-04-20,0,0,0,0
2022-04-21,0,0,0,0
2022-04-22,0,0,0,0
2022-04-23,0,0,0,0
2022-04-24,0,0,0,0
2022-04-25,0,0,0,0
2022-04-26,0,0,0,0
2022-04-27,0,0,0,0
2022-04-28,0,0,0,0
2022-04-29,0,0,0,0
2022-04-30,0,0,0,0
2022-05-01,0,0,0,0
2022-05-02,0,0,0,0
2022-05-03,0,0,0,0
2022-05-04,0,0,0,0
2022-05-05,0,0,0,0
2022-05-06,0,0,0,0
2022-05-07,0,0,0,0
2022-05-08,0,0,0,0
2022-05-09,0,0,0,0
2022-05-10,0,0,0,0
2022-05-11,0,0,0,0
2022-05-12,5,9,4,0
2022-05-13,10,24,14,0
2022-05-14,10,15,5,0
2022-05-15,6,10,4,0
2022-05-16,2,7,5,0
2022-05-17,2,3,1,0
2022-05-18,6,6,0,0
2022-05-19,2,10,8,0
2022-05-20,4,18,14,0
2022-05-21,10,12,2,0
2022-05-22,8,13,5,0
2022-05-23,8,10,2,0
2022-05-24,4,4,0,0
2022-05-25,6,9,3,0
2022-05-26,7,10,3,0
2022-05-27,2,6,4,0
2022-05-28,4,6,2,0
2022-05-29,3,5,2,0
2022-05-30,2,2,0,0
2022-05-31,3,13,10,0
2022-06-01,6,16,10,0
2022-06-02,4,9,5,0
2022-06-03,6,8,2,0
2022-06-04,8,10,2,0
2022-06-05,3,3,0,0
2022-06-06,7,8,1,0
2022-06-07,2,4,2,0
2022-06-08,6,7,1,0
2022-06-09,-1,17,18,0
2022-06-10,3,13,10,0
2022-06-11,3,8,5,0
2022-06-12,2,9,7,0
2022-06-13,2,6,4,0
2022-06-14,5,7,2,0
2022-06-15,4,7,3,0
2022-06-16,3,8,5,0
2022-06-17,4,7,3,0
2022-06-18,6,24,18,0
2022-06-19,7,14,7,0
2022-06-20,0,4,4,0
2022-06-21,5,7,2,0
2022-06-22,2,6,4,0
2022-06-23,3,4,1,0
2022-06-24,5,5,0,0
2022-06-25,5,6,1,0
2022-06-26,0,0,0,0
2022-06-27,3,3,0,0
2022-06-28,3,5,2,0
2022-06-29,3,4,1,0
2022-06-30,0,1,1,0
2022-07-01,2,2,0,0
2022-07-02,1,3,2,0
2022-07-03,0,0,0,0
2022-07-04,1,1,0,0
2022-07-05,1,2,1,0
2022-07-06,3,4,1,0
2022-07-07,2,2,0,0
2022-07-08,6,6,0,0
2022-07-09,4,5,1,0
2022-07-10,0,1,1,0
2022-07-11,2,2,0,0
2022-07-12,4,4,0,0
2022-07-13,6,6,0,0
2022-07-14,6,6,0,0
2022-07-15,4,5,1,0
2022-07-16,4,5,1,0
2022-07-17,4,5,1,0
2022-07-18,1,1,0,0
2022-07-19,1,1,0,0
2022-07-20,3,3,0,0
2022-07-21,3,3,0,0
2022-07-22,1,1,0,0
2022-07-23,2,2,0,0
2022-07-24,1,3,2,0
2022-07-25,3,3,0,0
2022-07-26,2,2,0,0
2022-07-27,0,1,1,0
2022-07-28,3,3,0,0
2022-07-29,3,3,0,0
2022-07-30,1,2,1,0
2022-07-31,2,2,0,0
2022-08-01,2,2,0,0
2022-08-02,5,6,1,0
2022-08-03,3,5,2,0
2022-08-04,3,3,0,0
2022-08-05,2,2,0,0
2022-08-06,3,3,0,0
2022-08-07,4,5,1,0
2022-08-08,4,4,0,0
2022-08-09,2,2,0,0
2022-08-10,6,6,0,0
2022-08-11,4,4,0,0
2022-08-12,5,5,0,0
2022-08-13,2,2,0,0
2022-08-14,4,4,0,0
2022-08-15,5,5,0,0
2022-08-16,2,4,2,0
2022-08-17,1,2,1,0
2022-08-18,7,8,1,0
2022-08-19,3,5,2,0
2022-08-20,3,3,0,0
2022-08-21,4,6,2,0
2022-08-22,4,4,0,0
2022-08-23,5,5,0,0
2022-08-24,4,4,0,0
2022-08-25,3,3,0,0
2022-08-26,1,1,0,0
2022-08-27,4,5,1,0
2022-08-28,0,1,1,0
2022-08-29,2,2,0,0
2022-08-30,3,3,0,0
2022-08-31,4,6,2,0
2022-09-01,1,1,0,0
2022-09-02,1,4,3,0
2022-09-03,0,0,0,0
2022-09-04,1,1,0,0
2022-09-05,1,4,3,0
2022-09-06,3,4,1,0
2022-09-07,-1,2,3,0
2022-09-08,1,2,1,0
2022-09-09,3,4,1,0
2022-09-10,1,2,1,0
2022-09-11,-1,2,3,0
2022-09-12,6,6,0,0
2022-09-13,4,4,0,0
2022-09-14,3,3,0,0
2022-09-15,2,2,0,0
2022-09-16,2,2,0,0
2022-09-17,5,5,0,0
2022-09-18,6,6,0,0
2022-09-19,3,3,0,0
2022-09-20,3,3,0,0
2022-09-21,0,1,1,0
2022-09-22,4,5,1,0
2022-09-23,0,3,3,0
2022-09-24,1,1,0,0
2022-09-25,4,4,0,0
2022-09-26,2,2,0,0
2022-09-27,2,4,2,0
2022-09-28,2,2,0,0
2022-09-29,0,2,2,0
2022-09-30,4,4,0,0
2022-10-01,0,0,0,0
2022-10-02,2,2,0,0
2022-10-03,1,1,0,0
2022-10-04,3,4,1,0
2022-10-05,5,5,0,0
2022-10-06,1,1,0,0
2022-10-07,3,3,0,0
2022-10-08,1,1,0,0
2022-10-09,6,6,0,0
2022-10-10,1,1,0,0
2022-10-11,4,5,1,0
2022-10-12,3,3,0,0
2022-10-13,2,3,1,0
2022-10-14,1,1,0,0
2022-10-15,3,3,0,0
2022-10-16,0,1,1,0
2022-10-17,2,3,1,0
2022-10-18,1,2,1,0
2022-10-19,3,4,1,0
2022-10-20,3,3,0,0
2022-10-21,2,3,1,0
2022-10-22,4,4,0,0
2022-10-23,4,5,1,0
2022-10-24,4,4,0,0
2022-10-25,5,5,0,0
2022-10-26,4,5,1,0
2022-10-27,5,5,0,0
2022-10-28,2,2,0,0
2022-10-29,2,2,0,0
2022-10-30,3,3,0,0
2022-10-31,1,2,1,0
2022-11-01,0,0,0,0
2022-11-02,2,2,0,0
2022-11-03,1,1,0,0
2022-11-04,0,0,0,0
2022-11-05,2,2,0,1
2022-11-06,2,2,0,1
2022-11-07,2,2,0,2
2022-11-08,-1,1,2,1
2022-11-09,4,4,0,0
2022-11-10,3,3,0,0
2022-11-11,4,4,0,1
2022-11-12,2,2,0,2
2022-11-13,3,5,2,0
2022-11-14,3,3,0,0
2022-11-15,4,5,1,3
2022-11-16,1,1,0,17
2022-11-17,4,4,0,11
2022-11-18,2,3,1,5
2022-11-19,1,2,1,5
2022-11-20,2,4,2,5
2022-11-21,2,2,0,1
2022-11-22,0,0,0,2
2022-11-23,0,0,0,2
2022-11-24,4,4,0,2
2022-11-25,3,3,0,2
2022-11-26,1,2,1,1
2022-11-27,1,2,1,2
2022-11-28,0,0,0,1
2022-11-29,2,2,0,3
2022-11-30,4,4,0,16
2022-12-01,3,3,0,9
2022-12-02,1,1,0,3
2022-12-03,1,1,0,4
2022-12-04,1,1,0,1
2022-12-05,0,0,0,2
2022-12-06,1,1,0,3
2022-12-07,1,1,0,1
2022-12-08,2,2,0,6
2022-12-09,3,5,2,2
2022-12-10,0,1,1,2
2022-12-11,5,5,0,2
2022-12-12,0,1,1,3
2022-12-13,1,3,2,2
2022-12-14,1,1,0,2
2022-12-15,3,4,1,1
2022-12-16,1,1,0,2
2022-12-17,1,1,0,2
2022-12-18,1,1,0,0
2022-12-19,4,4,0,1
2022-12-20,2,2,0,1
2022-12-21,0,0,0,11
2022-12-22,2,2,0,4
2022-12-23,4,4,0,4
2022-12-24,1,1,0,5
2022-12-25,2,3,1,8
2022-12-26,2,2,0,2
2022-12-27,4,4,0,5
2022-12-28,2,2,0,10
2022-12-29,4,5,1,10
2022-12-30,1,3,2,5
2022-12-31,2,3,1,4
2023-01-01,2,2,0,4
2023-01-02,1,1,0,2
2023-01-03,3,3,0,5
2023-01-04,1,1,0,5
2023-01-05,2,2,0,2
2023-01-06,3,4,1,2
2023-01-07,2,2,0,4
2023-01-08,2,2,0,3
2023-01-09,3,3,0,0
2023-01-10,4,4,0,1
2023-01-11,2,2,0,2
2023-01-12,1,1,0,0
2023-01-13,2,2,0,1
2023-01-14,6,6,0,1
2023-01-15,3,3,0,1
2023-01-16,2,2,0,3
2023-01-17,2,2,0,0
2023-01-18,2,2,0,0
2023-01-19,2,3,1,0
2023-01-20,2,2,0,0
2023-01-21,1,1,0,1
2023-01-22,5,5,0,0
2023-01-23,6,7,1,1
2023-01-24,1,1,0,1
2023-01-25,8,9,1,0
2023-01-26,2,3,1,1
2023-01-27,3,4,1,0
2023-01-28,3,3,0,2
2023-01-29,2,2,0,1
2023-01-30,2,2,0,0
2023-01-31,0,1,1,0
2023-02-01,3,3,0,0
2023-02-02,3,3,0,0
2023-02-03,2,3,1,1
2023-02-04,6,6,0,3
2023-02-05,0,0,0,0
2023-02-06,2,2,0,0
2023-02-07,2,2,0,0
2023-02-08,2,2,0,6
2023-02-09,4,4,0,10
2023-02-10,6,7,1,6
2023-02-11,2,2,0,9
2023-02-12,2,2,0,3
2023-02-13,2,2,0,1
2023-02-14,2,2,0,4
2023-02-15,3,4,1,3
2023-02-16,1,2,1,1
2023-02-17,6,6,0,0
2023-02-18,2,2,0,3
2023-02-19,2,3,1,2
2023-02-20,2,2,0,5
2023-02-21,4,4,0,5
2023-02-22,1,1,0,2
2023-02-23,1,2,1,1
2023-02-24,1,2,1,2
2023-02-25,2,2,0,1
2023-02-26,1,1,0,1
2023-02-27,2,2,0,2
2023-02-28,2,2,0,0
2023-03-01,2,2,0,10
2023-03-02,2,3,1,10
2023-03-03,4,4,0,6
2023-03-04,4,4,0,4
2023-03-05,0,0,0,3
2023-03-06,4,4,0,8
2023-03-07,3,3,0,6
2023-03-08,1,1,0,2
2023-03-09,2,2,0,1
2023-03-10,2,2,0,0
2023-03-11,3,4,1,3
2023-03-12,1,1,0,2
2023-03-13,4,4,0,2
2023-03-14,3,3,0,1
2023-03-15,1,2,1,5
2023-03-16,3,4,1,12
2023-03-17,2,2,0,13
2023-03-18,2,3,1,7
2023-03-19,2,4,2,3
2023-03-20,1,1,0,3
2023-03-21,3,3,0,2
2023-03-22,1,1,0,2
2023-03-23,1,2,1,3
2023-03-24,0,1,1,3
2023-03-25,2,2,0,5
2023-03-26,5,5,0,2
2023-03-27,1,2,1,0
2023-03-28,2,2,0,5
2023-03-29,1,1,0,3
2023-03-30,2,2,0,1
2023-03-31,1,4,3,3
2023-04-01,3,3,0,1
2023-04-02,2,3,1,1
2023-04-03,2,2,0,3
2023-04-04,2,2,0,4
2023-04-05,2,2,0,0
2023-04-06,3,3,0,0
2023-04-07,1,1,0,3
